Date,Open,Close,High,Low
14/05/2012,25,24,27,19.83
15/05/2012,24,24,27,19.83
16/05/2012,24,23.16,27,19.83
17/05/2012,23.16,22.49,27,19.83
18/05/2012,22.49,22.45,27,19.83
21/05/2012,22.45,22.45,27,19.83
22/05/2012,22.45,22.12,27,19.83
23/05/2012,22.12,22.1,27,19.83
24/05/2012,22.1,22.1,27,19.83
28/05/2012,22.1,22,27,19.83
29/05/2012,22,21.8,27,19.83
30/05/2012,21.8,20,27,19.83
31/05/2012,20,20,27,19.83
01/06/2012,20,19.96,27,19.83
04/06/2012,19.96,19.96,27,19.83
05/06/2012,19.96,19.5,27,19.5
06/06/2012,19.5,19.48,27,19.5
07/06/2012,19.48,19.48,27,19.5
08/06/2012,19.48,19.47,27,19.47
12/06/2012,19.47,19.47,27,19.47
11/06/2012,19.48,19.47,27,19.47
13/06/2012,19.47,19.47,27,19.47
14/06/2012,19.47,19.47,27,19.47
15/06/2012,19.47,19.47,27,19.47
18/06/2012,19.47,19.45,27,19.45
19/06/2012,19.45,19.45,27,19.45
20/06/2012,19.45,19.45,27,19.45
21/06/2012,19.45,19.45,27,19.45
22/06/2012,19.45,19.45,27,19.45
25/06/2012,19.45,19.45,27,19.45
26/06/2012,19.45,19.44,27,19.45
27/06/2012,19.44,19.44,27,19.45
28/06/2012,19.44,19.43,27,19.45
29/06/2012,19.43,19.43,27,19.45
03/07/2012,19.43,19.43,27,19.45
04/07/2012,19.43,19.43,27,19.45
05/07/2012,19.44,19.44,27,19.45
06/07/2012,19.43,19.4,27,19.4
09/07/2012,19.4,19.4,27,19.4
10/07/2012,19.4,19.4,27,19.4
11/07/2012,19.4,19.4,27,19.4
12/07/2012,19.4,19.4,27,19.4
13/07/2012,19.4,19.3,27,19.3
16/07/2012,19.3,19.3,27,19.3
17/07/2012,19.3,18.01,27,19.3
18/07/2012,18.01,18.01,27,19.3
19/07/2012,18.01,18,27,19.3
23/07/2012,18,18,27,19.3
24/07/2012,18,18,27,19.3
25/07/2012,18,18,27,19.3
26/07/2012,18,18,27,19.3
27/07/2012,18,17.92,27,17.92
30/07/2012,17.92,18,27,17.92
31/07/2012,18,18,27,17.92
01/08/2012,18,18,27,17.92
02/08/2012,18,18,27,17.92
03/08/2012,18,18,27,17.92
06/08/2012,18,18.08,27,17.92
07/08/2012,18.08,18.12,27,17.92
08/08/2012,18.12,18.17,27,17.92
09/08/2012,18.17,18.17,27,17.92
13/08/2012,18.17,18.21,18.21,17.92
14/08/2012,18.21,18.32,18.35,17.92
15/08/2012,18.32,18.39,18.39,17.92
16/08/2012,18.39,18.41,18.41,17.92
17/08/2012,18.41,18.42,18.42,17.92
21/08/2012,18.42,18.42,18.42,17.92
22/08/2012,18.42,18.42,18.42,17.92
23/08/2012,18.42,18.42,18.42,17.92
24/08/2012,18.42,18.42,18.42,17.92
27/08/2012,18.42,18.42,18.42,17.92
28/08/2012,18.42,18.42,18.42,17.92
29/08/2012,18.42,18.42,18.42,17.92
30/08/2012,18.42,18.42,18.42,17.92
31/08/2012,18.42,18.43,18.43,17.92
03/09/2012,18.43,18.43,18.43,17.92
04/09/2012,18.43,18.4,18.43,17.92
05/09/2012,18.4,18.4,18.43,17.92
06/09/2012,18.4,18.4,18.43,17.92
07/09/2012,18.4,18.2,18.43,17.92
11/09/2012,18.2,18.2,18.43,17.92
10/09/2012,18.2,18.2,18.43,17.92
12/09/2012,18.2,18.4,18.43,17.92
13/09/2012,18.4,18.4,18.43,17.92
14/09/2012,18.4,18.4,18.43,17.92
17/09/2012,18.4,18.4,18.43,17.92
18/09/2012,18.4,18.2,18.43,17.92
19/09/2012,18.2,18.2,18.43,17.92
20/09/2012,18.2,18.19,18.43,17.92
24/09/2012,18.19,18.19,18.43,17.92
25/09/2012,18.19,18.18,18.43,17.92
26/09/2012,18.18,18.18,18.43,17.92
27/09/2012,18.18,18.18,18.43,17.92
28/09/2012,18.18,18,18.43,17.92
01/10/2012,18,18,18.43,17.92
02/10/2012,18,18,18.43,17.92
03/10/2012,18,18,18.43,17.92
04/10/2012,18,18,18.43,17.92
05/10/2012,18,18,18.43,17.92
08/10/2012,18,18,18.43,17.92
09/10/2012,18,18,18.43,17.92
10/10/2012,18,18,18.43,17.92
11/10/2012,18,18,18.43,17.92
12/10/2012,18,18,18.43,17.92
15/10/2012,18,18,18.43,17.92
16/10/2012,18,18,18.43,17.92
17/10/2012,18,18,18.43,17.92
18/10/2012,18,18.01,18.43,17.92
19/10/2012,18.01,18.05,18.43,17.92
22/10/2012,18.05,18.05,18.43,17.92
23/10/2012,18.05,18.09,18.43,17.92
24/10/2012,18.09,18.15,18.43,17.92
25/10/2012,18.15,18.15,18.43,17.92
29/10/2012,18.15,18.15,18.43,17.92
30/10/2012,18.15,18.15,18.43,17.92
31/10/2012,18.15,18.15,18.43,17.92
02/11/2012,18.4,19,19,17.92
01/11/2012,18.15,18.4,18.43,17.92
05/11/2012,19,20,19,17.92
06/11/2012,20,20,19,17.92
07/11/2012,20,20,19,17.92
08/11/2012,20,20,19,17.92
09/11/2012,20,20,19,17.92
12/11/2012,20,20,19,17.92
13/11/2012,20,20,19,17.92
14/11/2012,20,20,19,17.92
15/11/2012,20,20,20,17.92
16/11/2012,20,20,20,17.92
19/11/2012,20,20,20,17.92
20/11/2012,20,20,20,17.92
21/11/2012,20,20,20,17.92
22/11/2012,20,20,20,17.92
23/11/2012,20,23,20,17.92
27/11/2012,22,22,20,17.92
28/11/2012,22,22.01,22.01,17.92
