Date,High,Low,Open,Close
20/09/2011,0.33,0.28,0.31,0.32
22/09/2011,0.33,0.28,0.32,0.31
23/09/2011,0.33,0.28,0.31,0.31
26/09/2011,0.33,0.28,0.31,0.32
27/09/2011,0.33,0.28,0.32,0.31
28/09/2011,0.33,0.28,0.31,0.31
29/09/2011,0.33,0.28,0.31,0.32
30/09/2011,0.33,0.28,0.32,0.32
03/10/2011,0.33,0.28,0.32,0.32
04/10/2011,0.33,0.28,0.32,0.32
05/10/2011,0.33,0.28,0.32,0.32
06/10/2011,0.33,0.28,0.32,0.31
07/10/2011,0.33,0.28,0.31,0.31
10/10/2011,0.33,0.28,0.31,0.32
11/10/2011,0.33,0.28,0.32,0.32
12/10/2011,0.33,0.28,0.32,0.32
13/10/2011,0.33,0.28,0.32,0.31
14/10/2011,0.33,0.28,0.31,0.31
17/10/2011,0.33,0.28,0.31,0.32
18/10/2011,0.33,0.28,0.32,0.33
19/10/2011,0.33,0.28,0.33,0.33
20/10/2011,0.33,0.28,0.33,0.32
21/10/2011,0.33,0.28,0.32,0.33
24/10/2011,0.33,0.28,0.33,0.33
25/10/2011,0.33,0.28,0.33,0.32
26/10/2011,0.33,0.28,0.32,0.32
27/10/2011,0.33,0.28,0.32,0.32
28/10/2011,0.33,0.28,0.32,0.32
31/10/2011,0.33,0.28,0.32,0.32
01/11/2011,0.33,0.28,0.32,0.32
02/11/2011,0.33,0.28,0.32,0.32
03/11/2011,0.33,0.28,0.32,0.31
04/11/2011,0.33,0.28,0.31,0.31
08/11/2011,0.33,0.28,0.31,0.31
09/11/2011,0.33,0.28,0.31,0.31
10/11/2011,0.33,0.28,0.31,0.32
11/11/2011,0.33,0.28,0.32,0.32
14/11/2011,0.33,0.28,0.32,0.32
15/11/2011,0.33,0.28,0.32,0.32
16/11/2011,0.33,0.28,0.32,0.32
17/11/2011,0.33,0.28,0.32,0.32
18/11/2011,0.33,0.28,0.32,0.32
21/11/2011,0.33,0.28,0.32,0.32
22/11/2011,0.33,0.28,0.32,0.31
23/11/2011,0.33,0.28,0.31,0.31
24/11/2011,0.33,0.28,0.31,0.31
25/11/2011,0.33,0.28,0.31,0.31
28/11/2011,0.33,0.28,0.31,0.31
29/11/2011,0.33,0.28,0.31,0.31
30/11/2011,0.33,0.28,0.31,0.31
01/12/2011,0.33,0.28,0.31,0.31
05/12/2011,0.33,0.28,0.31,0.31
06/12/2011,0.33,0.28,0.31,0.31
07/12/2011,0.33,0.28,0.31,0.31
08/12/2011,0.33,0.28,0.31,0.32
09/12/2011,0.33,0.28,0.32,0.32
12/12/2011,0.33,0.28,0.32,0.32
13/12/2011,0.33,0.28,0.32,0.32
14/12/2011,0.33,0.28,0.32,0.32
15/12/2011,0.33,0.28,0.32,0.32
16/12/2011,0.33,0.28,0.32,0.32
19/12/2011,0.33,0.28,0.32,0.32
20/12/2011,0.33,0.28,0.32,0.32
21/12/2011,0.33,0.28,0.32,0.32
22/12/2011,0.33,0.28,0.32,0.32
23/12/2011,0.33,0.28,0.32,0.32
28/12/2011,0.33,0.28,0.32,0.32
29/12/2011,0.33,0.28,0.32,0.32
30/12/2011,0.33,0.28,0.32,0.32
03/01/2012,0.33,0.28,0.32,0.32
04/01/2012,0.33,0.28,0.32,0.32
17/01/2012,0.33,0.32,0.32,0.33
18/01/2012,0.33,0.32,0.33,0.33
19/01/2012,0.33,0.32,0.33,0.32
20/01/2012,0.33,0.32,0.32,0.33
23/01/2012,0.33,0.32,0.33,0.32
24/01/2012,0.33,0.32,0.32,0.32
25/01/2012,0.33,0.32,0.32,0.32
26/01/2012,0.33,0.32,0.32,0.32
27/01/2012,0.33,0.32,0.32,0.32
30/01/2012,0.33,0.32,0.32,0.32
31/01/2012,0.33,0.32,0.32,0.32
01/02/2012,0.33,0.32,0.32,0.32
02/02/2012,0.33,0.32,0.32,0.33
03/02/2012,0.33,0.32,0.33,0.33
06/02/2012,0.33,0.32,0.33,0.33
07/02/2012,0.33,0.32,0.33,0.33
08/02/2012,0.33,0.32,0.33,0.33
09/02/2012,0.33,0.32,0.33,0.33
10/02/2012,0.33,0.32,0.33,0.33
13/02/2012,0.33,0.32,0.33,0.33
14/02/2012,0.33,0.32,0.33,0.33
15/02/2012,0.33,0.32,0.33,0.32
16/02/2012,0.33,0.32,0.32,0.33
17/02/2012,0.33,0.32,0.33,0.33
20/02/2012,0.33,0.32,0.33,0.32
