Date,Open,Close,High,Low,
03/01/2018,12.84,12.85,12.85,12.84,
04/01/2018,12.85,12.85,12.85,12.84,
05/01/2018,12.85,12.85,12.85,12.84,
08/01/2018,12.85,12.85,12.85,12.84,
09/01/2018,12.85,12.9,12.9,12.84,
10/01/2018,12.9,12.9,12.9,12.84,
11/01/2018,12.9,12.9,12.9,12.84,
12/01/2018,12.9,12.9,12.9,12.84,
15/01/2018,12.9,12.9,12.9,12.84,
16/01/2018,12.9,12.9,12.9,12.84,
17/01/2018,12.9,13.1,13.1,12.84,
18/01/2018,12.9,13.13,13.13,12.84,
19/01/2018,12.9,13.13,13.13,12.84,
22/01/2018,12.9,13.13,13.13,12.84,
23/01/2018,13.16,14,14,12.84,
24/01/2018,13.16,14,14,12.84,
25/01/2018,14,13.56,14,12.84,
26/01/2018,13.56,13.56,14,12.84,
29/01/2018,13.56,13.56,14,12.84,
30/01/2018,13.56,13.56,14,12.84,
31/01/2018,13.56,14.33,14.5,12.84,
01/02/2018,14.33,14.33,14.5,12.84,
02/02/2018,14.33,14.33,14.5,12.84,
05/02/2018,14.33,15.87,16,12.84,
06/02/2018,15.87,16,16,12.84,
07/02/2018,16,16,16,12.84,
08/02/2018,16,16,16,12.84,
09/02/2018,16,16,16,12.84,
12/02/2018,16,16,16,12.84,
13/02/2018,16,16.11,16.11,12.84,
14/02/2018,16.11,16.14,16.14,12.84,
15/02/2018,16.14,16.17,16.17,12.84,
16/02/2018,16.17,16.17,16.17,12.84,
19/02/2018,16.17,16.19,16.19,12.84,
20/02/2018,16.19,16.21,16.21,12.84,
21/02/2018,16.21,16.25,16.26,12.84,
22/02/2018,16.25,16.25,16.26,12.84,
23/02/2018,16.25,16.25,16.26,12.84,
26/02/2018,16.25,16.26,16.26,12.84,
27/02/2018,16.26,16.26,16.26,12.84,
28/02/2018,16.26,16.26,16.26,12.84,
01/03/2018,16.26,16.26,16.26,12.84,
02/03/2018,16.26,16.26,16.26,12.84,
05/03/2018,16.26,16.26,16.26,12.84,
07/03/2018,16.26,16.27,16.3,12.84,
08/03/2018,16.27,16.27,16.3,12.84,
09/03/2018,16.27,16.27,16.3,12.84,
12/03/2018,16.27,16.27,16.3,12.84,
13/03/2018,16.27,16.3,16.3,12.84,
14/03/2018,16.3,16.3,16.3,12.84,
15/03/2018,16.3,16.3,16.3,12.84,
16/03/2018,16.3,16.3,16.3,12.84,
19/03/2018,16.3,16.31,16.31,12.84,
20/03/2018,16.31,16.31,16.31,12.84,
21/03/2018,16.31,16.31,16.31,12.84,
22/03/2018,16.31,16.31,16.31,12.84,
23/03/2018,16.31,16.31,16.31,12.84,
26/03/2018,16.31,16.8,16.8,12.84,
27/03/2018,16.8,16.8,16.8,12.84,
28/03/2018,16.8,16.8,16.8,12.84,
29/03/2018,16.8,16.8,16.8,12.84,
03/04/2018,16.8,16.8,16.8,12.84,
04/04/2018,16.8,16.8,16.8,12.84,
05/04/2018,16.8,16.83,16.84,12.84,
06/04/2018,16.83,16.83,16.84,12.84,
09/04/2018,16.83,16.86,16.86,12.84,
10/04/2018,16.86,16.86,16.86,12.84,
11/04/2018,16.86,16.86,16.86,12.84,
12/04/2018,16.86,16.86,16.86,12.84,
13/04/2018,16.86,16.86,16.86,12.84,
16/04/2018,16.86,16.9,16.9,12.84,
17/04/2018,16.9,16.9,16.9,12.84,
18/04/2018,16.9,16.9,16.9,12.84,
19/04/2018,16.9,16.9,16.9,12.84,
20/04/2018,16.9,16.9,16.9,12.84,
23/04/2018,16.9,16.9,16.9,12.84,
24/04/2018,16.9,16.9,16.9,12.84,
25/04/2018,16.9,16.9,16.9,12.84,
26/04/2018,16.9,16.9,16.9,12.84,
27/04/2018,16.9,16.9,16.9,12.84,
30/04/2018,16.9,16.9,16.9,12.84,
02/05/2018,16.9,16.9,16.9,12.84,
03/05/2018,16.9,16.9,16.9,12.84,
04/05/2018,16.9,16.9,16.9,12.84,
07/05/2018,16.9,16.94,16.95,12.84,
08/05/2018,16.94,16.94,16.95,12.84,
09/05/2018,16.94,16.94,16.95,12.84,
10/05/2018,16.94,17.5,17.5,12.84,
11/05/2018,17.5,17.5,17.5,12.84,
